ranking,school,conference,conference_long,season,gender,league,division,rank_type,school_vm
,Hartford,America East,America East,2020,women,NCAA,D1,Pablo,University of Hartford
104,New Hampshire,America East,America East,2003,women,NCAA,D1,Pablo,University of New Hampshire
113,New Hampshire,America East,America East,2007,women,NCAA,D1,Pablo,University of New Hampshire
130,New Hampshire,America East,America East,2002,women,NCAA,D1,Pablo,University of New Hampshire
140,New Hampshire,America East,America East,2015,women,NCAA,D1,Pablo,University of New Hampshire
142,New Hampshire,America East,America East,2000,women,NCAA,D1,Pablo,University of New Hampshire
142,New Hampshire,America East,America East,2016,women,NCAA,D1,Pablo,University of New Hampshire
180,New Hampshire,America East,America East,1999,women,NCAA,D1,Pablo,University of New Hampshire
192,New Hampshire,America East,America East,2014,women,NCAA,D1,Pablo,University of New Hampshire
197,New Hampshire,America East,America East,2018,women,NCAA,D1,Pablo,University of New Hampshire
204,New Hampshire,America East,America East,2013,women,NCAA,D1,Pablo,University of New Hampshire
205,New Hampshire,America East,America East,2009,women,NCAA,D1,Pablo,University of New Hampshire
208,New Hampshire,America East,America East,2017,women,NCAA,D1,Pablo,University of New Hampshire
210,New Hampshire,America East,America East,2001,women,NCAA,D1,Pablo,University of New Hampshire
214,New Hampshire,America East,America East,2006,women,NCAA,D1,Pablo,University of New Hampshire
215,New Hampshire,America East,America East,2019,women,NCAA,D1,Pablo,University of New Hampshire
227,New Hampshire,America East,America East,2004,women,NCAA,D1,Pablo,University of New Hampshire
229,New Hampshire,America East,America East,2005,women,NCAA,D1,Pablo,University of New Hampshire
229,New Hampshire,America East,America East,2011,women,NCAA,D1,Pablo,University of New Hampshire
232,New Hampshire,America East,America East,2022,women,NCAA,D1,RPI,University of New Hampshire
236,New Hampshire,America East,America East,2022,women,NCAA,D1,Pablo,University of New Hampshire
241,New Hampshire,America East,America East,2008,women,NCAA,D1,Pablo,University of New Hampshire
264,New Hampshire,America East,America East,2012,women,NCAA,D1,Pablo,University of New Hampshire
275,New Hampshire,America East,America East,2010,women,NCAA,D1,Pablo,University of New Hampshire
277,New Hampshire,America East,America East,2021,women,NCAA,D1,Pablo,University of New Hampshire
,New Hampshire,America East,America East,2020,women,NCAA,D1,Pablo,University of New Hampshire
312,NJIT,America East,America East,2022,women,NCAA,D1,RPI,New Jersey Institute of Technology
87,Stony Brook,America East,America East,2007,women,NCAA,D1,Pablo,Stony Brook University
115,Stony Brook,America East,America East,2018,women,NCAA,D1,Pablo,Stony Brook University
124,Stony Brook,America East,America East,2003,women,NCAA,D1,Pablo,Stony Brook University
179,Stony Brook,America East,America East,2017,women,NCAA,D1,Pablo,Stony Brook University
199,Stony Brook,America East,America East,2004,women,NCAA,D1,Pablo,Stony Brook University
213,Stony Brook,America East,America East,2002,women,NCAA,D1,Pablo,Stony Brook University
216,Stony Brook,America East,America East,2005,women,NCAA,D1,Pablo,Stony Brook University
217,Stony Brook,America East,America East,2011,women,NCAA,D1,Pablo,Stony Brook University
220,Stony Brook,America East,America East,2009,women,NCAA,D1,Pablo,Stony Brook University
