ranking,school,conference,conference_long,season,gender,league,division,rank_type,school_vm
62,Baylor,Big 12,Big 12,2000,women,NCAA,D1,Pablo,Baylor University
73,Baylor,Big 12,Big 12,2012,women,NCAA,D1,Pablo,Baylor University
74,Baylor,Big 12,Big 12,2011,women,NCAA,D1,Pablo,Baylor University
78,Baylor,Big 12,Big 12,2005,women,NCAA,D1,Pablo,Baylor University
97,Baylor,Big 12,Big 12,2014,women,NCAA,D1,Pablo,Baylor University
102,Baylor,Big 12,Big 12,2003,women,NCAA,D1,Pablo,Baylor University
110,Baylor,Big 12,Big 12,2004,women,NCAA,D1,Pablo,Baylor University
135,Baylor,Big 12,Big 12,2013,women,NCAA,D1,Pablo,Baylor University
156,Baylor,Big 12,Big 12,2002,women,NCAA,D1,Pablo,Baylor University
,Baylor,Big 12,Big 12,2020,women,NCAA,D1,Pablo,Baylor University
31,Iowa St.,Big 12,Big 12,2022,women,NCAA,D1,RPI,Iowa State University
5,Iowa State,Big 12,Big 12,2009,women,NCAA,D1,Pablo,Iowa State University
10,Iowa State,Big 12,Big 12,2011,women,NCAA,D1,Pablo,Iowa State University
11,Iowa State,Big 12,Big 12,2008,women,NCAA,D1,Pablo,Iowa State University
12,Iowa State,Big 12,Big 12,2012,women,NCAA,D1,Pablo,Iowa State University
14,Iowa State,Big 12,Big 12,2006,women,NCAA,D1,Pablo,Iowa State University
19,Iowa State,Big 12,Big 12,2007,women,NCAA,D1,Pablo,Iowa State University
21,Iowa State,Big 12,Big 12,2017,women,NCAA,D1,Pablo,Iowa State University
27,Iowa State,Big 12,Big 12,2010,women,NCAA,D1,Pablo,Iowa State University
28,Iowa State,Big 12,Big 12,2015,women,NCAA,D1,Pablo,Iowa State University
28,Iowa State,Big 12,Big 12,2016,women,NCAA,D1,Pablo,Iowa State University
31,Iowa State,Big 12,Big 12,2018,women,NCAA,D1,Pablo,Iowa State University
36,Iowa State,Big 12,Big 12,2013,women,NCAA,D1,Pablo,Iowa State University
36,Iowa State,Big 12,Big 12,2014,women,NCAA,D1,Pablo,Iowa State University
41,Iowa State,Big 12,Big 12,2021,women,NCAA,D1,Pablo,Iowa State University
45,Iowa State,Big 12,Big 12,2005,women,NCAA,D1,Pablo,Iowa State University
50,Iowa State,Big 12,Big 12,2019,women,NCAA,D1,Pablo,Iowa State University
51,Iowa State,Big 12,Big 12,2022,women,NCAA,D1,Pablo,Iowa State University
121,Iowa State,Big 12,Big 12,2002,women,NCAA,D1,Pablo,Iowa State University
137,Iowa State,Big 12,Big 12,2003,women,NCAA,D1,Pablo,Iowa State University
150,Iowa State,Big 12,Big 12,2004,women,NCAA,D1,Pablo,Iowa State University
175,Iowa State,Big 12,Big 12,1999,women,NCAA,D1,Pablo,Iowa State University
209,Iowa State,Big 12,Big 12,2001,women,NCAA,D1,Pablo,Iowa State University
216,Iowa State,Big 12,Big 12,2000,women,NCAA,D1,Pablo,Iowa State University
,Iowa State,Big 12,Big 12,2020,women,NCAA,D1,Pablo,Iowa State University
6,Kansas,Big 12,Big 12,2015,women,NCAA,D1,Pablo,University of Kansas
11,Kansas,Big 12,Big 12,2016,women,NCAA,D1,Pablo,University of Kansas
23,Kansas,Big 12,Big 12,2003,women,NCAA,D1,Pablo,University of Kansas
23,Kansas,Big 12,Big 12,2022,women,NCAA,D1,Pablo,University of Kansas
25,Kansas,Big 12,Big 12,2004,women,NCAA,D1,Pablo,University of Kansas
27,Kansas,Big 12,Big 12,2013,women,NCAA,D1,Pablo,University of Kansas
28,Kansas,Big 12,Big 12,2022,women,NCAA,D1,RPI,University of Kansas
29,Kansas,Big 12,Big 12,2009,women,NCAA,D1,Pablo,University of Kansas
29,Kansas,Big 12,Big 12,2017,women,NCAA,D1,Pablo,University of Kansas
33,Kansas,Big 12,Big 12,2014,women,NCAA,D1,Pablo,University of Kansas
34,Kansas,Big 12,Big 12,2012,women,NCAA,D1,Pablo,University of Kansas
35,Kansas,Big 12,Big 12,2021,women,NCAA,D1,Pablo,University of Kansas
42,Kansas,Big 12,Big 12,2002,women,NCAA,D1,Pablo,University of Kansas
48,Kansas,Big 12,Big 12,1999,women,NCAA,D1,Pablo,University of Kansas
50,Kansas,Big 12,Big 12,2001,women,NCAA,D1,Pablo,University of Kansas
50,Kansas,Big 12,Big 12,2010,women,NCAA,D1,Pablo,University of Kansas
54,Kansas,Big 12,Big 12,2011,women,NCAA,D1,Pablo,University of Kansas
56,Kansas,Big 12,Big 12,2008,women,NCAA,D1,Pablo,University of Kansas
57,Kansas,Big 12,Big 12,2007,women,NCAA,D1,Pablo,University of Kansas
57,Kansas,Big 12,Big 12,2018,women,NCAA,D1,Pablo,University of Kansas
64,Kansas,Big 12,Big 12,2000,women,NCAA,D1,Pablo,University of Kansas
66,Kansas,Big 12,Big 12,2005,women,NCAA,D1,Pablo,University of Kansas
78,Kansas,Big 12,Big 12,2006,women,NCAA,D1,Pablo,University of Kansas
99,Kansas,Big 12,Big 12,2019,women,NCAA,D1,Pablo,University of Kansas
,Kansas,Big 12,Big 12,2020,women,NCAA,D1,Pablo,University of Kansas
79,Kansas St.,Big 12,Big 12,2022,women,NCAA,D1,RPI,Kansas State University
11,Kansas State,Big 12,Big 12,2002,women,NCAA,D1,Pablo,Kansas State University
13,Kansas State,Big 12,Big 12,2000,women,NCAA,D1,Pablo,Kansas State University
13,Kansas State,Big 12,Big 12,2003,women,NCAA,D1,Pablo,Kansas State University
13,Kansas State,Big 12,Big 12,2007,women,NCAA,D1,Pablo,Kansas State University
14,Kansas State,Big 12,Big 12,2001,women,NCAA,D1,Pablo,Kansas State University
19,Kansas State,Big 12,Big 12,2008,women,NCAA,D1,Pablo,Kansas State University
22,Kansas State,Big 12,Big 12,2004,women,NCAA,D1,Pablo,Kansas State University
23,Kansas State,Big 12,Big 12,2006,women,NCAA,D1,Pablo,Kansas State University
25,Kansas State,Big 12,Big 12,2005,women,NCAA,D1,Pablo,Kansas State University
29,Kansas State,Big 12,Big 12,1999,women,NCAA,D1,Pablo,Kansas State University
29,Kansas State,Big 12,Big 12,2011,women,NCAA,D1,Pablo,Kansas State University
31,Kansas State,Big 12,Big 12,2016,women,NCAA,D1,Pablo,Kansas State University
45,Kansas State,Big 12,Big 12,2009,women,NCAA,D1,Pablo,Kansas State University
46,Kansas State,Big 12,Big 12,2015,women,NCAA,D1,Pablo,Kansas State University
48,Kansas State,Big 12,Big 12,2018,women,NCAA,D1,Pablo,Kansas State University
48,Kansas State,Big 12,Big 12,2022,women,NCAA,D1,Pablo,Kansas State University
52,Kansas State,Big 12,Big 12,2014,women,NCAA,D1,Pablo,Kansas State University
57,Kansas State,Big 12,Big 12,2021,women,NCAA,D1,Pablo,Kansas State University
58,Kansas State,Big 12,Big 12,2012,women,NCAA,D1,Pablo,Kansas State University
65,Kansas State,Big 12,Big 12,2013,women,NCAA,D1,Pablo,Kansas State University
68,Kansas State,Big 12,Big 12,2017,women,NCAA,D1,Pablo,Kansas State University
75,Kansas State,Big 12,Big 12,2010,women,NCAA,D1,Pablo,Kansas State University
114,Kansas State,Big 12,Big 12,2019,women,NCAA,D1,Pablo,Kansas State University
,Kansas State,Big 12,Big 12,2020,women,NCAA,D1,Pablo,Kansas State University
7,Oklahoma,Big 12,Big 12,2006,women,NCAA,D1,Pablo,University of Oklahoma
19,Oklahoma,Big 12,Big 12,2010,women,NCAA,D1,Pablo,University of Oklahoma
23,Oklahoma,Big 12,Big 12,2009,women,NCAA,D1,Pablo,University of Oklahoma
28,Oklahoma,Big 12,Big 12,2008,women,NCAA,D1,Pablo,University of Oklahoma
33,Oklahoma,Big 12,Big 12,2013,women,NCAA,D1,Pablo,University of Oklahoma
35,Oklahoma,Big 12,Big 12,2018,women,NCAA,D1,Pablo,University of Oklahoma
37,Oklahoma,Big 12,Big 12,2019,women,NCAA,D1,Pablo,University of Oklahoma
38,Oklahoma,Big 12,Big 12,2012,women,NCAA,D1,Pablo,University of Oklahoma
40,Oklahoma,Big 12,Big 12,2007,women,NCAA,D1,Pablo,University of Oklahoma
43,Oklahoma,Big 12,Big 12,2011,women,NCAA,D1,Pablo,University of Oklahoma
47,Oklahoma,Big 12,Big 12,2014,women,NCAA,D1,Pablo,University of Oklahoma
47,Oklahoma,Big 12,Big 12,2015,women,NCAA,D1,Pablo,University of Oklahoma
49,Oklahoma,Big 12,Big 12,2022,women,NCAA,D1,Pablo,University of Oklahoma
58,Oklahoma,Big 12,Big 12,2016,women,NCAA,D1,Pablo,University of Oklahoma
91,Oklahoma,Big 12,Big 12,2005,women,NCAA,D1,Pablo,University of Oklahoma
95,Oklahoma,Big 12,Big 12,1999,women,NCAA,D1,Pablo,University of Oklahoma
95,Oklahoma,Big 12,Big 12,2021,women,NCAA,D1,Pablo,University of Oklahoma
101,Oklahoma,Big 12,Big 12,2017,women,NCAA,D1,Pablo,University of Oklahoma
108,Oklahoma,Big 12,Big 12,2022,women,NCAA,D1,RPI,University of Oklahoma
108,Oklahoma,Big 12,Big 12,2002,women,NCAA,D1,Pablo,University of Oklahoma
124,Oklahoma,Big 12,Big 12,2004,women,NCAA,D1,Pablo,University of Oklahoma
158,Oklahoma,Big 12,Big 12,2000,women,NCAA,D1,Pablo,University of Oklahoma
174,Oklahoma,Big 12,Big 12,2003,women,NCAA,D1,Pablo,University of Oklahoma
207,Oklahoma,Big 12,Big 12,2001,women,NCAA,D1,Pablo,University of Oklahoma
,Oklahoma,Big 12,Big 12,2020,women,NCAA,D1,Pablo,University of Oklahoma
20,TCU,Big 12,Big 12,2009,women,NCAA,D1,Pablo,Texas Christian University
39,TCU,Big 12,Big 12,2022,women,NCAA,D1,RPI,Texas Christian University
39,TCU,Big 12,Big 12,2015,women,NCAA,D1,Pablo,Texas Christian University
42,TCU,Big 12,Big 12,2022,women,NCAA,D1,Pablo,Texas Christian University
49,TCU,Big 12,Big 12,2016,women,NCAA,D1,Pablo,Texas Christian University
50,TCU,Big 12,Big 12,2011,women,NCAA,D1,Pablo,Texas Christian University
53,TCU,Big 12,Big 12,2018,women,NCAA,D1,Pablo,Texas Christian University
54,TCU,Big 12,Big 12,2007,women,NCAA,D1,Pablo,Texas Christian University
79,TCU,Big 12,Big 12,2004,women,NCAA,D1,Pablo,Texas Christian University
82,TCU,Big 12,Big 12,2017,women,NCAA,D1,Pablo,Texas Christian University
92,TCU,Big 12,Big 12,2019,women,NCAA,D1,Pablo,Texas Christian University
96,TCU,Big 12,Big 12,2013,women,NCAA,D1,Pablo,Texas Christian University
98,TCU,Big 12,Big 12,2021,women,NCAA,D1,Pablo,Texas Christian University
104,TCU,Big 12,Big 12,2008,women,NCAA,D1,Pablo,Texas Christian University
108,TCU,Big 12,Big 12,2014,women,NCAA,D1,Pablo,Texas Christian University
113,TCU,Big 12,Big 12,2006,women,NCAA,D1,Pablo,Texas Christian University
118,TCU,Big 12,Big 12,1999,women,NCAA,D1,Pablo,Texas Christian University
119,TCU,Big 12,Big 12,2000,women,NCAA,D1,Pablo,Texas Christian University
125,TCU,Big 12,Big 12,2012,women,NCAA,D1,Pablo,Texas Christian University
128,TCU,Big 12,Big 12,2010,women,NCAA,D1,Pablo,Texas Christian University
134,TCU,Big 12,Big 12,2001,women,NCAA,D1,Pablo,Texas Christian University
138,TCU,Big 12,Big 12,2002,women,NCAA,D1,Pablo,Texas Christian University
140,TCU,Big 12,Big 12,2003,women,NCAA,D1,Pablo,Texas Christian University
178,TCU,Big 12,Big 12,2005,women,NCAA,D1,Pablo,Texas Christian University
,TCU,Big 12,Big 12,2020,women,NCAA,D1,Pablo,Texas Christian University
1,Texas,Big 12,Big 12,2022,women,NCAA,D1,RPI,University of Texas at Austin
1,Texas,Big 12,Big 12,2012,women,NCAA,D1,Pablo,University of Texas at Austin
1,Texas,Big 12,Big 12,2022,women,NCAA,D1,Pablo,University of Texas at Austin
2,Texas,Big 12,Big 12,2009,women,NCAA,D1,Pablo,University of Texas at Austin
2,Texas,Big 12,Big 12,2015,women,NCAA,D1,Pablo,University of Texas at Austin
3,Texas,Big 12,Big 12,2008,women,NCAA,D1,Pablo,University of Texas at Austin
3,Texas,Big 12,Big 12,2011,women,NCAA,D1,Pablo,University of Texas at Austin
4,Texas,Big 12,Big 12,2007,women,NCAA,D1,Pablo,University of Texas at Austin
4,Texas,Big 12,Big 12,2021,women,NCAA,D1,Pablo,University of Texas at Austin
5,Texas,Big 12,Big 12,2006,women,NCAA,D1,Pablo,University of Texas at Austin
5,Texas,Big 12,Big 12,2013,women,NCAA,D1,Pablo,University of Texas at Austin
5,Texas,Big 12,Big 12,2014,women,NCAA,D1,Pablo,University of Texas at Austin
5,Texas,Big 12,Big 12,2016,women,NCAA,D1,Pablo,University of Texas at Austin
5,Texas,Big 12,Big 12,2017,women,NCAA,D1,Pablo,University of Texas at Austin
6,Texas,Big 12,Big 12,2018,women,NCAA,D1,Pablo,University of Texas at Austin
6,Texas,Big 12,Big 12,2019,women,NCAA,D1,Pablo,University of Texas at Austin
8,Texas,Big 12,Big 12,2004,women,NCAA,D1,Pablo,University of Texas at Austin
8,Texas,Big 12,Big 12,2010,women,NCAA,D1,Pablo,University of Texas at Austin
13,Texas,Big 12,Big 12,2002,women,NCAA,D1,Pablo,University of Texas at Austin
14,Texas,Big 12,Big 12,2005,women,NCAA,D1,Pablo,University of Texas at Austin
28,Texas,Big 12,Big 12,1999,women,NCAA,D1,Pablo,University of Texas at Austin
37,Texas,Big 12,Big 12,2001,women,NCAA,D1,Pablo,University of Texas at Austin
42,Texas,Big 12,Big 12,2000,women,NCAA,D1,Pablo,University of Texas at Austin
55,Texas,Big 12,Big 12,2003,women,NCAA,D1,Pablo,University of Texas at Austin
,Texas,Big 12,Big 12,2020,women,NCAA,D1,Pablo,University of Texas at Austin
28,Texas Tech,Big 12,Big 12,2002,women,NCAA,D1,Pablo,Texas Tech University
29,Texas Tech,Big 12,Big 12,2000,women,NCAA,D1,Pablo,Texas Tech University
39,Texas Tech,Big 12,Big 12,2021,women,NCAA,D1,Pablo,Texas Tech University
45,Texas Tech,Big 12,Big 12,2006,women,NCAA,D1,Pablo,Texas Tech University
50,Texas Tech,Big 12,Big 12,2022,women,NCAA,D1,Pablo,Texas Tech University
55,Texas Tech,Big 12,Big 12,2001,women,NCAA,D1,Pablo,Texas Tech University
59,Texas Tech,Big 12,Big 12,2018,women,NCAA,D1,Pablo,Texas Tech University
61,Texas Tech,Big 12,Big 12,2017,women,NCAA,D1,Pablo,Texas Tech University
64,Texas Tech,Big 12,Big 12,1999,women,NCAA,D1,Pablo,Texas Tech University
65,Texas Tech,Big 12,Big 12,2004,women,NCAA,D1,Pablo,Texas Tech University
72,Texas Tech,Big 12,Big 12,2022,women,NCAA,D1,RPI,Texas Tech University
83,Texas Tech,Big 12,Big 12,2019,women,NCAA,D1,Pablo,Texas Tech University
104,Texas Tech,Big 12,Big 12,2005,women,NCAA,D1,Pablo,Texas Tech University
106,Texas Tech,Big 12,Big 12,2015,women,NCAA,D1,Pablo,Texas Tech University
121,Texas Tech,Big 12,Big 12,2016,women,NCAA,D1,Pablo,Texas Tech University
125,Texas Tech,Big 12,Big 12,2010,women,NCAA,D1,Pablo,Texas Tech University
127,Texas Tech,Big 12,Big 12,2003,women,NCAA,D1,Pablo,Texas Tech University
127,Texas Tech,Big 12,Big 12,2011,women,NCAA,D1,Pablo,Texas Tech University
133,Texas Tech,Big 12,Big 12,2014,women,NCAA,D1,Pablo,Texas Tech University
139,Texas Tech,Big 12,Big 12,2009,women,NCAA,D1,Pablo,Texas Tech University
140,Texas Tech,Big 12,Big 12,2012,women,NCAA,D1,Pablo,Texas Tech University
145,Texas Tech,Big 12,Big 12,2008,women,NCAA,D1,Pablo,Texas Tech University
155,Texas Tech,Big 12,Big 12,2007,women,NCAA,D1,Pablo,Texas Tech University
156,Texas Tech,Big 12,Big 12,2013,women,NCAA,D1,Pablo,Texas Tech University
,Texas Tech,Big 12,Big 12,2020,women,NCAA,D1,Pablo,Texas Tech University
33,West Virginia,Big 12,Big 12,2021,women,NCAA,D1,Pablo,West Virginia University
46,West Virginia,Big 12,Big 12,2017,women,NCAA,D1,Pablo,West Virginia University
75,West Virginia,Big 12,Big 12,2014,women,NCAA,D1,Pablo,West Virginia University
95,West Virginia,Big 12,Big 12,2016,women,NCAA,D1,Pablo,West Virginia University
99,West Virginia,Big 12,Big 12,2019,women,NCAA,D1,Pablo,West Virginia University
119,West Virginia,Big 12,Big 12,2013,women,NCAA,D1,Pablo,West Virginia University
134,West Virginia,Big 12,Big 12,2018,women,NCAA,D1,Pablo,West Virginia University
134,West Virginia,Big 12,Big 12,2022,women,NCAA,D1,Pablo,West Virginia University
162,West Virginia,Big 12,Big 12,2000,women,NCAA,D1,Pablo,West Virginia University
166,West Virginia,Big 12,Big 12,2004,women,NCAA,D1,Pablo,West Virginia University
166,West Virginia,Big 12,Big 12,2009,women,NCAA,D1,Pablo,West Virginia University
169,West Virginia,Big 12,Big 12,2022,women,NCAA,D1,RPI,West Virginia University
169,West Virginia,Big 12,Big 12,2002,women,NCAA,D1,Pablo,West Virginia University
174,West Virginia,Big 12,Big 12,2010,women,NCAA,D1,Pablo,West Virginia University
177,West Virginia,Big 12,Big 12,2005,women,NCAA,D1,Pablo,West Virginia University
181,West Virginia,Big 12,Big 12,2011,women,NCAA,D1,Pablo,West Virginia University
182,West Virginia,Big 12,Big 12,1999,women,NCAA,D1,Pablo,West Virginia University
188,West Virginia,Big 12,Big 12,2007,women,NCAA,D1,Pablo,West Virginia University
195,West Virginia,Big 12,Big 12,2003,women,NCAA,D1,Pablo,West Virginia University
203,West Virginia,Big 12,Big 12,2015,women,NCAA,D1,Pablo,West Virginia University
214,West Virginia,Big 12,Big 12,2001,women,NCAA,D1,Pablo,West Virginia University
247,West Virginia,Big 12,Big 12,2008,women,NCAA,D1,Pablo,West Virginia University
253,West Virginia,Big 12,Big 12,2006,women,NCAA,D1,Pablo,West Virginia University
254,West Virginia,Big 12,Big 12,2012,women,NCAA,D1,Pablo,West Virginia University
,West Virginia,Big 12,Big 12,2020,women,NCAA,D1,Pablo,West Virginia University
42,Butler,Big East,Big East,2013,women,NCAA,D1,Pablo,Butler University
53,Butler,Big East,Big East,2017,women,NCAA,D1,Pablo,Butler University
70,Butler,Big East,Big East,2014,women,NCAA,D1,Pablo,Butler University
76,Butler,Big East,Big East,2003,women,NCAA,D1,Pablo,Butler University
76,Butler,Big East,Big East,2016,women,NCAA,D1,Pablo,Butler University
93,Butler,Big East,Big East,2010,women,NCAA,D1,Pablo,Butler University
99,Butler,Big East,Big East,2004,women,NCAA,D1,Pablo,Butler University
115,Butler,Big East,Big East,2001,women,NCAA,D1,Pablo,Butler University
116,Butler,Big East,Big East,2012,women,NCAA,D1,Pablo,Butler University
121,Butler,Big East,Big East,2011,women,NCAA,D1,Pablo,Butler University
124,Butler,Big East,Big East,2000,women,NCAA,D1,Pablo,Butler University
133,Butler,Big East,Big East,2002,women,NCAA,D1,Pablo,Butler University
139,Butler,Big East,Big East,1999,women,NCAA,D1,Pablo,Butler University
142,Butler,Big East,Big East,2015,women,NCAA,D1,Pablo,Butler University
152,Butler,Big East,Big East,2008,women,NCAA,D1,Pablo,Butler University
156,Butler,Big East,Big East,2021,women,NCAA,D1,Pablo,Butler University
157,Butler,Big East,Big East,2019,women,NCAA,D1,Pablo,Butler University
163,Butler,Big East,Big East,2009,women,NCAA,D1,Pablo,Butler University
164,Butler,Big East,Big East,2022,women,NCAA,D1,RPI,Butler University
170,Butler,Big East,Big East,2022,women,NCAA,D1,Pablo,Butler University
173,Butler,Big East,Big East,2018,women,NCAA,D1,Pablo,Butler University
193,Butler,Big East,Big East,2007,women,NCAA,D1,Pablo,Butler University
235,Butler,Big East,Big East,2005,women,NCAA,D1,Pablo,Butler University
243,Butler,Big East,Big East,2006,women,NCAA,D1,Pablo,Butler University
,Butler,Big East,Big East,2020,women,NCAA,D1,Pablo,Butler University
12,Creighton,Big East,Big East,2022,women,NCAA,D1,RPI,Creighton University
12,Creighton,Big East,Big East,2016,women,NCAA,D1,Pablo,Creighton University
12,Creighton,Big East,Big East,2018,women,NCAA,D1,Pablo,Creighton University
19,Creighton,Big East,Big East,2022,women,NCAA,D1,Pablo,Creighton University
20,Creighton,Big East,Big East,2012,women,NCAA,D1,Pablo,Creighton University
22,Creighton,Big East,Big East,2019,women,NCAA,D1,Pablo,Creighton University
22,Creighton,Big East,Big East,2021,women,NCAA,D1,Pablo,Creighton University
26,Creighton,Big East,Big East,2017,women,NCAA,D1,Pablo,Creighton University
27,Creighton,Big East,Big East,2015,women,NCAA,D1,Pablo,Creighton University
43,Creighton,Big East,Big East,2010,women,NCAA,D1,Pablo,Creighton University
43,Creighton,Big East,Big East,2014,women,NCAA,D1,Pablo,Creighton University
46,Creighton,Big East,Big East,2013,women,NCAA,D1,Pablo,Creighton University
52,Creighton,Big East,Big East,2008,women,NCAA,D1,Pablo,Creighton University
62,Creighton,Big East,Big East,2006,women,NCAA,D1,Pablo,Creighton University
69,Creighton,Big East,Big East,2007,women,NCAA,D1,Pablo,Creighton University
79,Creighton,Big East,Big East,2009,women,NCAA,D1,Pablo,Creighton University
84,Creighton,Big East,Big East,2001,women,NCAA,D1,Pablo,Creighton University
88,Creighton,Big East,Big East,2005,women,NCAA,D1,Pablo,Creighton University
99,Creighton,Big East,Big East,2004,women,NCAA,D1,Pablo,Creighton University
103,Creighton,Big East,Big East,2000,women,NCAA,D1,Pablo,Creighton University
120,Creighton,Big East,Big East,1999,women,NCAA,D1,Pablo,Creighton University
133,Creighton,Big East,Big East,2011,women,NCAA,D1,Pablo,Creighton University
180,Creighton,Big East,Big East,2003,women,NCAA,D1,Pablo,Creighton University
231,Creighton,Big East,Big East,2002,women,NCAA,D1,Pablo,Creighton University
,Creighton,Big East,Big East,2020,women,NCAA,D1,Pablo,Creighton University
47,DePaul,Big East,Big East,2001,women,NCAA,D1,Pablo,DePaul University
97,DePaul,Big East,Big East,2000,women,NCAA,D1,Pablo,DePaul University
99,DePaul,Big East,Big East,2021,women,NCAA,D1,Pablo,DePaul University
122,DePaul,Big East,Big East,1999,women,NCAA,D1,Pablo,DePaul University
144,DePaul,Big East,Big East,2016,women,NCAA,D1,Pablo,DePaul University
146,DePaul,Big East,Big East,2022,women,NCAA,D1,RPI,DePaul University
148,DePaul,Big East,Big East,2022,women,NCAA,D1,Pablo,DePaul University
149,DePaul,Big East,Big East,2019,women,NCAA,D1,Pablo,DePaul University
165,DePaul,Big East,Big East,2013,women,NCAA,D1,Pablo,DePaul University
172,DePaul,Big East,Big East,2015,women,NCAA,D1,Pablo,DePaul University
182,DePaul,Big East,Big East,2008,women,NCAA,D1,Pablo,DePaul University
183,DePaul,Big East,Big East,2004,women,NCAA,D1,Pablo,DePaul University
185,DePaul,Big East,Big East,2003,women,NCAA,D1,Pablo,DePaul University
201,DePaul,Big East,Big East,2012,women,NCAA,D1,Pablo,DePaul University
202,DePaul,Big East,Big East,2017,women,NCAA,D1,Pablo,DePaul University
204,DePaul,Big East,Big East,2002,women,NCAA,D1,Pablo,DePaul University
225,DePaul,Big East,Big East,2007,women,NCAA,D1,Pablo,DePaul University
225,DePaul,Big East,Big East,2011,women,NCAA,D1,Pablo,DePaul University
247,DePaul,Big East,Big East,2005,women,NCAA,D1,Pablo,DePaul University
253,DePaul,Big East,Big East,2010,women,NCAA,D1,Pablo,DePaul University
267,DePaul,Big East,Big East,2014,women,NCAA,D1,Pablo,DePaul University
269,DePaul,Big East,Big East,2006,women,NCAA,D1,Pablo,DePaul University
274,DePaul,Big East,Big East,2009,women,NCAA,D1,Pablo,DePaul University
283,DePaul,Big East,Big East,2018,women,NCAA,D1,Pablo,DePaul University
,DePaul,Big East,Big East,2020,women,NCAA,D1,Pablo,DePaul University
43,Georgetown,Big East,Big East,1999,women,NCAA,D1,Pablo,Georgetown University
86,Georgetown,Big East,Big East,2001,women,NCAA,D1,Pablo,Georgetown University
106,Georgetown,Big East,Big East,2002,women,NCAA,D1,Pablo,Georgetown University
122,Georgetown,Big East,Big East,2000,women,NCAA,D1,Pablo,Georgetown University
151,Georgetown,Big East,Big East,2009,women,NCAA,D1,Pablo,Georgetown University
154,Georgetown,Big East,Big East,2008,women,NCAA,D1,Pablo,Georgetown University
159,Georgetown,Big East,Big East,2011,women,NCAA,D1,Pablo,Georgetown University
166,Georgetown,Big East,Big East,2004,women,NCAA,D1,Pablo,Georgetown University
182,Georgetown,Big East,Big East,2018,women,NCAA,D1,Pablo,Georgetown University
185,Georgetown,Big East,Big East,2017,women,NCAA,D1,Pablo,Georgetown University
193,Georgetown,Big East,Big East,2003,women,NCAA,D1,Pablo,Georgetown University
194,Georgetown,Big East,Big East,2013,women,NCAA,D1,Pablo,Georgetown University
198,Georgetown,Big East,Big East,2016,women,NCAA,D1,Pablo,Georgetown University
199,Georgetown,Big East,Big East,2010,women,NCAA,D1,Pablo,Georgetown University
200,Georgetown,Big East,Big East,2006,women,NCAA,D1,Pablo,Georgetown University
204,Georgetown,Big East,Big East,2015,women,NCAA,D1,Pablo,Georgetown University
219,Georgetown,Big East,Big East,2014,women,NCAA,D1,Pablo,Georgetown University
226,Georgetown,Big East,Big East,2005,women,NCAA,D1,Pablo,Georgetown University
235,Georgetown,Big East,Big East,2012,women,NCAA,D1,Pablo,Georgetown University
239,Georgetown,Big East,Big East,2019,women,NCAA,D1,Pablo,Georgetown University
247,Georgetown,Big East,Big East,2007,women,NCAA,D1,Pablo,Georgetown University
253,Georgetown,Big East,Big East,2021,women,NCAA,D1,Pablo,Georgetown University
280,Georgetown,Big East,Big East,2022,women,NCAA,D1,RPI,Georgetown University
296,Georgetown,Big East,Big East,2022,women,NCAA,D1,Pablo,Georgetown University
,Georgetown,Big East,Big East,2020,women,NCAA,D1,Pablo,Georgetown University
14,Marquette,Big East,Big East,2022,women,NCAA,D1,RPI,Marquette University
14,Marquette,Big East,Big East,2018,women,NCAA,D1,Pablo,Marquette University
14,Marquette,Big East,Big East,2022,women,NCAA,D1,Pablo,Marquette University
29,Marquette,Big East,Big East,2019,women,NCAA,D1,Pablo,Marquette University
31,Marquette,Big East,Big East,2013,women,NCAA,D1,Pablo,Marquette University
33,Marquette,Big East,Big East,2017,women,NCAA,D1,Pablo,Marquette University
38,Marquette,Big East,Big East,2014,women,NCAA,D1,Pablo,Marquette University
48,Marquette,Big East,Big East,2012,women,NCAA,D1,Pablo,Marquette University
50,Marquette,Big East,Big East,2016,women,NCAA,D1,Pablo,Marquette University
50,Marquette,Big East,Big East,2021,women,NCAA,D1,Pablo,Marquette University
52,Marquette,Big East,Big East,2011,women,NCAA,D1,Pablo,Marquette University
53,Marquette,Big East,Big East,2004,women,NCAA,D1,Pablo,Marquette University
55,Marquette,Big East,Big East,2015,women,NCAA,D1,Pablo,Marquette University
56,Marquette,Big East,Big East,2010,women,NCAA,D1,Pablo,Marquette University
75,Marquette,Big East,Big East,2005,women,NCAA,D1,Pablo,Marquette University
79,Marquette,Big East,Big East,2001,women,NCAA,D1,Pablo,Marquette University
86,Marquette,Big East,Big East,2003,women,NCAA,D1,Pablo,Marquette University
87,Marquette,Big East,Big East,2006,women,NCAA,D1,Pablo,Marquette University
99,Marquette,Big East,Big East,2009,women,NCAA,D1,Pablo,Marquette University
105,Marquette,Big East,Big East,1999,women,NCAA,D1,Pablo,Marquette University
129,Marquette,Big East,Big East,2002,women,NCAA,D1,Pablo,Marquette University
156,Marquette,Big East,Big East,2007,women,NCAA,D1,Pablo,Marquette University
159,Marquette,Big East,Big East,2008,women,NCAA,D1,Pablo,Marquette University
165,Marquette,Big East,Big East,2000,women,NCAA,D1,Pablo,Marquette University
,Marquette,Big East,Big East,2020,women,NCAA,D1,Pablo,Marquette University
